ame, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
TOPANGA PATROL FC-6, Los Angeles, CA06, -118.599, 34.084, 745, M, 0.00
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 86.7, 0.09
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 81.7, 0.57
JOSHUA TREE, San Bernardino, CA07, -116.275, 34.147, 2563, 78.5, 0.10
SAN DIMAS FIRE FC 95, Los Angeles, CA06, -117.802, 34.105, 958, M, 0.00
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, 75.1, 0.00
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 66.9, 0.05
ALTADENA, Los Angeles, CA06, -118.138, 34.182, 1127, M, 0.00
SAN GABRIEL CANYON PH, Los Angeles, CA06, -117.908, 34.155, 744, 80.6, 0.01
WOODLAND HILLS PIERCE COLLEGE, Los Angeles, CA06, -118.574, 34.182, 790, 76.7, 0.00
LYTLE CREEK R S, San Bernardino, CA06, -117.471, 34.238, 2730, M, 0.00
SAN GABRIEL DAM FC425B-E, Los Angeles, CA06, -117.861, 34.205, 1481, M, 0.00
MT WILSON CBS, Los Angeles, CA06, -118.071, 34.231, 5710, 69.4, 0.00
VAN NUYS AP, Los Angeles, CA06, -118.491, 34.212, 785, 77.7, 0.00
CAMARILLO AP, Ventura, CA06, -119.088, 34.211, 71, 68.4, 0.00
OXNARD VENTURA COUNTY AP, Ventura, CA06, -119.204, 34.200, 39, 64.1, 0.01
PARKER RESRVOIR, San Bernardino, CA07, -114.171, 34.290, 738, 83.5, 1.14
TWENTYNINE PALMS MC, San Bernardino, CA07, -116.147, 34.294, 2003, M, 0.34
BIG BEAR LAKE, San Bernardino, CA06, -116.917, 34.243, 6753, 58.6, 1.09
CHATSWORTH FC 24 F, Los Angeles, CA06, -118.600, 34.250, 950, M, 0.00
CRYSTAL LAKE FC238C, Los Angeles, CA06, -117.842, 34.318, 5345, M, 0.00
BIG TUJUNGA DAM FC46, Los Angeles, CA06, -118.188, 34.295, 2326, M, 0.00
PACOIMA DAM FC33A-E, Los Angeles, CA06, -118.400, 34.329, 1550, M, 0.00
PIRU 2 ESE, Ventura, CA06, -118.757, 34.406, 712, M, 0.00
SANTA BARBARA MUNI AP, Santa Barbara, CA06, -119.842, 34.424, 8, 67.0, 0.00
JUNCAL DAM, Santa Barbara, CA06, -119.507, 34.491, 2260, M, 0.00
VICTORVILLE, San Bernardino, CA07, -117.293, 34.529, 2880, 74.7, 0.00
ACTON ESCONDIDO FC261, Los Angeles, CA06, -118.271, 34.494, 2833, M, 0.00
GIBRALTAR DAM NO. 2, Santa Barbara, CA06, -119.682, 34.523, 1558, 71.8, 0.00
AMBOY, San Bernardino, CA07, -115.744, 34.559, 648, 87.9, 0.32
PALMDALE, Los Angeles, CA07, -118.094, 34.588, 2612, 76.3, 0.00
SAUGUS POWER PLANT 1, Los Angeles, CA06, -118.454, 34.590, 2161, 74.4, 0.00
LOS PRIETOS RS, Santa Barbara, CA06, -119.791, 34.544, 1024, M, 0.00
CACHUMA LAKE, Santa Barbara, CA06, -119.982, 34.582, 789, 68.6, 0.00
SALSIPUEDES GAGING STATION, Santa Barbara, CA06, -120.408, 34.585, 254, 64.1, 0.00
PALMDALE AP, Los Angeles, CA07, -118.083, 34.629, 2509, 75.9, T
LOMPOC, Santa Barbara, CA06, -120.451, 34.654, 75, 64.8, 0.00
LANCASTER, Los Angeles, CA06, -118.213, 34.741, 2338, 74.6, T
SANDBERG, Los Angeles, CA06, -118.724, 34.744, 4510, 72.4, 0.02
LEBEC, Kern, CA05, -118.865, 34.833, 3575, 65.8, 0.09
NEW CUYAMA FIRE STATION, Santa Barbara, CA06, -119.683, 34.946, 2160, 70.5, 0.00
TWITCHELL DAM, Santa Barbara, CA06, -120.321, 34.988, 582, 63.9, 0.01
MOJAVE, Kern, CA07, -118.162, 35.049, 2735, 74.4, 0.00
PISMO BEACH, San Luis Obispo, CA04, -120.683, 35.160, 39, 62.5, 0.00
SALINAS DAM, San Luis Obispo, CA04, -120.504, 35.337, 1392, 71.4, 0.00
RANDSBURG, Kern, CA07, -117.652, 35.369, 3570, 76.3, 0.25
SANTA MARGARITA BOOST, San Luis Obispo, CA04, -120.637, 35.374, 1148, 71.6, 0.00
MORRO BAY FIRE DEPT, San Luis Obispo, CA04, -120.845, 35.367, 118, 65.0, 0.00
BAKERSFIELD AP, Kern, CA05, -119.055, 35.434, 490, 76.9, T
BUTTONWILLOW, Kern, CA05, -119.470, 35.403, 225, 75.5, 0.00
GLENNVILLE, Kern, CA05, -118.701, 35.727, 3140, 65.5, 0.15
TRONA, San Bernardino, CA07, -117.391, 35.764, 1695, 81.6, 0.08
DELANO, Kern, CA05, -119.260, 35.768, 302, 75.2, 0.00
BRADLEY TELEMETERING, Monterey, CA04, -120.868, 35.930, 443, M, 0.00
KETTLEMAN CITY, Kings, CA05, -119.960, 36.007, 240, 74.8, 0.00
HAIWEE, Inyo, CA07, -117.953, 36.139, 3825, 78.7, 0.02
CORCORAN IRRIGATION DIST., Kings, CA05, -119.582, 36.098, 200, 74.8, 0.00
COALINGA, Fresno, CA05, -120.361, 36.136, 670, 77.2, 0.00
KING CITY, Monterey, CA04, -121.138, 36.207, 320, 68.0, 0.01
LINDSAY, Tulare, CA05, -119.054, 36.203, 435, 74.2, 0.00
BIG SUR STATION, Monterey, CA04, -121.780, 36.247, 200, 65.0, 0.22
VISALIA, Tulare, CA05, -119.300, 36.328, 303, 73.4, 0.00
FIVE POINTS 5 SSW, Fresno, CA05, -120.156, 36.364, 285, 75.5, 0.00
SAN CLEMENTE DAM, Monterey, CA04, -121.709, 36.438, 600, M, 0.13
ASH MOUNTAIN, Tulare, CA05, -118.825, 36.491, 1708, 75.6, 0.00
THREE RIVERS EDISON PH 1, Tulare, CA05, -118.862, 36.465, 1140, 75.8, 0.02
PINNACLES NATIONAL PARK, San Benito, CA04, -121.182, 36.482, 1307, 68.7, 0.02
CARMEL VALLEY, Monterey, CA04, -121.724, 36.481, 480, 65.2, 0.05
LODGEPOLE, Tulare, CA05, -118.732, 36.604, 6735, 54.2, 0.41
PANOCHE 2 W, San Benito, CA05, -120.884, 36.607, 1400, M, T
MONTEREY, Monterey, CA04, -121.855, 36.593, 122, 62.3, 0.02
SALINAS NO. 2, Monterey, CA04, -121.666, 36.659, 45, 64.4, 0.14
SALINAS AP, Monterey, CA04, -121.609, 36.664, 73, 65.9, 0.07
GRANT GROVE, Tulare, CA05, -118.962, 36.738, 6580, 59.7, 0.21
LOS BANOS ARBURUA RANCH, Merced, CA05, -120.939, 36.875, 843, M, 0.00
HOLLISTER 2, San Benito, CA04, -121.421, 36.848, 275, 68.1, 0.00
BALCH POWER HOUSE, Fresno, CA05, -119.088, 36.909, 1735, 73.8, 0.20
WATSONVILLE WATERWORKS, Santa Cruz, CA04, -121.769, 36.931, 95, 65.3, 0.06
FRIANT GOVERNMENT CAMP, Fresno, CA05, -119.707, 36.997, 410, 73.6, 0.08
MADERA, Madera, CA05, -120.038, 36.954, 270, 73.0, 0.02
WISHON DAM, Fresno, CA05, -118.984, 37.007, 6550, M, 0.50
GILROY, Santa Clara, CA04, -121.561, 37.003, 194, 67.9, 0.02
AUBERRY 2 NW, Fresno, CA05, -119.513, 37.092, 2090, 72.5, 0.04
LOS BANOS, Merced, CA05, -120.867, 37.056, 120, 73.3, 0.00
BEN LOMOND NO. 4, Santa Cruz, CA04, -122.080, 37.086, 420, 69.0, 0.40
MORGAN HILL, Santa Clara, CA04, -121.602, 37.136, 375, M, M
HUNTINGTON LAKE, Fresno, CA05, -119.221, 37.228, 7020, M, 0.52
NORTH FORK RS, Madera, CA05, -119.510, 37.233, 2645, 66.3, 0.38
LOS GATOS, Santa Clara, CA04, -121.959, 37.232, 365, 67.9, 0.07
NEWMAN, Stanislaus, CA05, -121.018, 37.281, 90, 75.5, 0.02
MOUNT HAMILTON, Santa Clara, CA04, -121.635, 37.343, 4220, 62.6, 1.00
BISHOP AIRPORT, Inyo, CA07, -118.359, 37.371, 4110, 68.6, T
MOFFETT FEDERAL AIRFIELD, Santa Clara, CA04, -122.048, 37.406, 39, 68.1, 0.50
WOODSIDE FIRE STATION 1, San Mateo, CA04, -122.256, 37.429, 380, 68.7, 0.69
TURLOCK #2, Stanislaus, CA05, -120.846, 37.502, 103, M, 0.04
PALO ALTO, Santa Clara, CA04, -122.140, 37.444, 25, 67.5, 0.42
REDWOOD CITY, San Mateo, CA04, -122.239, 37.477, 31, 67.4, 0.00
HALF MOON BAY, San Mateo, CA04, -122.443, 37.473, 27, 60.2, 0.85
SO ENTRANCE YOSEMITE N.P., Mariposa, CA05, -119.633, 37.512, 5047, 59.7, 0.00
MARIPOSA R S, Mariposa, CA05, -119.986, 37.495, 2100, M, 0.10
NEWARK, Alameda, CA04, -122.032, 37.515, 10, 67.2, 0.50
EXCHEQUER DAM, Mariposa, CA05, -120.267, 37.585, 442, M, 0.00
MODESTO AP, Stanislaus, CA05, -120.955, 37.625, 87, 72.5, 0.13
HAYWARD AIR TERMINAL, Alameda, CA04, -122.121, 37.659, 31, 64.8, 0.22
TRACY CARBONA, San Joaquin, CA05, -121.347, 37.682, 135, 68.8, 0.23
LIVERMORE MUNICIPAL AP, Alameda, CA04, -121.815, 37.693, 393, 70.8, 0.47
OAKLAND INTERNATIONAL AIRPORT, Alameda, CA04, -122.233, 37.718, 5, 66.0, 0.61
UPPER SAN LEANDRO FILTERS, Alameda, CA04, -122.167, 37.772, 394, M, 1.09
SAN FRANCISCO DOWNTOWN, San Francisco, CA04, -122.427, 37.771, 150, 63.5, 0.39
SAN FRANCISCO OCEANSIDE, San Francisco, CA04, -122.505, 37.728, 8, 59.0, 0.55
GROVELAND 2, Tuolumne, CA05, -120.226, 37.844, 2800, 65.7, 0.15
TRACY PUMPING PLANT, Alameda, CA05, -121.583, 37.796, 61, 73.5, 0.17
OAKLAND MUSEUM, Alameda, CA04, -122.264, 37.798, 30, 67.1, 0.34
TUOLUMNE MEADOWS R.S., Tuolumne, CA05, -119.344, 37.877, 8694, 46.9, 1.09
MOUNT DIABLO JUNCTION, Contra Costa, CA04, -121.930, 37.879, 2170, 66.2, 1.11
STOCKTON AP, San Joaquin, CA05, -121.226, 37.890, 27, 71.4, 0.28
RICHMOND, Contra Costa, CA04, -122.377, 37.919, 20, 66.7, 0.53
MUIR WOODS, Marin, CA01, -122.569, 37.898, 220, 66.6, 0.69
HETCH HETCHY, Tuolumne, CA05, -119.783, 37.961, 3870, M, 0.77
CHERRY VALLEY DAM, Tuolumne, CA05, -119.916, 37.975, 4765, M, 0.48
SONORA, Tuolumne, CA05, -120.387, 37.967, 1675, 67.3, 0.64
STOCKTON FIRE STA 4, San Joaquin, CA05, -121.318, 37.999, 12, 78.0, 0.00
ANTIOCH PUMPING PLANT #3, Contra Costa, CA05, -121.752, 37.983, 60, 71.7, 0.50
CONCORD BUCHANAN FIELD, Contra Costa, CA04, -122.053, 37.992, 23, 69.1, 0.65
CONCORD WASTEWATER PLANT, Contra Costa, CA04, -122.069, 37.983, 40, 71.4, 0.70
SAN RAFAEL-CIVIC CENTER, Marin, CA01, -122.537, 37.998, 120, 66.8, 0.59
KENTFIELD, Marin, CA01, -122.545, 37.957, 145, 67.9, 0.59
MARTINEZ WATER PLANT, Contra Costa, CA04, -122.114, 38.013, 40, 66.8, 0.80
SAN ANDREAS 2, Calaveras, CA05, -120.671, 38.191, 1100, 70.9, 0.00
BODIE CALIFORNIA STATE HISTORIC PARK, Mono, CA03, -119.014, 38.212, 8370, 49.7, 0.46
ACAMPO 5NE, San Joaquin, CA05, -121.201, 38.218, 87, M, 0.93
NAPA COUNTY AIRPORT, Napa, CA04, -122.280, 38.208, 16, 66.0, 0.84
BRIDGEPORT, Mono, CA03, -119.229, 38.258, 6470, 54.1, 0.37
CALAVERAS BIG TREES, Calaveras, CA05, -120.311, 38.277, 4695, M, 0.69
CAMP PARDEE, Calaveras, CA05, -120.843, 38.249, 658, M, 0.82
TRAVIS FIELD AFB, Solano, CA02, -121.933, 38.267, 62, 70.9, 0.46
FAIRFIELD, Solano, CA02, -122.068, 38.274, 40, 72.1, 1.10
SONOMA, Sonoma, CA01, -122.462, 38.299, 97, 67.4, 0.43
SUTTER HILL CDF, Amador, CA05, -120.801, 38.377, 1586, 71.1, 0.87
WEST POINT, Calaveras, CA05, -120.545, 38.378, 2775, M, 1.36
ATLAS ROAD BROWN, Napa, CA01, -122.248, 38.427, 1680, M, 0.84
GRATON, Sonoma, CA01, -122.865, 38.431, 200, 66.4, 0.48
OCCIDENTAL, Sonoma, CA01, -122.966, 38.386, 865, 63.8, 1.06
FIDDLETOWN DEXTER RCH, Amador, CA05, -120.698, 38.525, 2170, M, 1.28
SACRAMENTO AP ASOS, Sacramento, CA02, -121.496, 38.507, 19, 71.1, 0.59
WINTERS, Yolo, CA02, -121.978, 38.525, 135, 73.5, 0.59
LAKE SOLANO, Solano, CA02, -122.004, 38.492, 187, 72.5, 0.65
SAINT HELENA, Napa, CA01, -122.471, 38.507, 225, 70.0, 0.45
SAINT HELENA 4 WSW, Napa, CA01, -122.538, 38.493, 1780, M, 1.16
FORT ROSS, Sonoma, CA01, -123.245, 38.515, 112, 58.4, 0.33
SACRAMENTO 5 ESE, Sacramento, CA02, -121.418, 38.555, 38, 72.6, 0.55
ANGWIN PACIFIC UNION COLLEGE, Napa, CA01, -122.440, 38.573, 1715, 65.5, 1.04
CALISTOGA, Napa, CA01, -122.578, 38.577, 350, 67.7, 0.12
VENADO, Sonoma, CA01, -123.018, 38.609, 1260, M, 0.68
WOODLAND 1 WNW, Yolo, CA02, -121.794, 38.683, 67, 76.7, 0.00
SACRAMENTO METROPOLITAN AP, Sacramento, CA02, -121.595, 38.701, 24, 71.1, 0.53
PACIFIC HOUSE, El Dorado, CA02, -120.503, 38.758, 3450, 63.2, 2.58
MIDDLETOWN, Lake, CA02, -122.626, 38.748, 1121, M, 0.59
CLOVERDALE, Sonoma, CA01, -123.026, 38.793, 400, 70.2, 0.50
KELSEY 1 N, El Dorado, CA02, -120.821, 38.809, 2000, M, 1.60
SOUTH LAKE TAHOE AP, El Dorado, CA03, -119.996, 38.898, 6257, 56.6, 0.71
GEORGETOWN RS, El Dorado, CA02, -120.801, 38.933, 3001, 68.4, 1.96
AUBURN, Placer, CA02, -121.084, 38.907, 1292, 69.8, 0.37
NICOLAUS #2, Sutter, CA02, -121.545, 38.926, 43, M, 0.67
YORKVILLE, Mendocino, CA01, -123.231, 38.905, 1100, M, 0.76
CLEARLAKE 4 SE, Lake, CA02, -122.567, 38.924, 1349, 67.1, 0.16
FORESTHILL RANGER STATION, Placer, CA02, -120.845, 39.010, 3015, M, 1.66
HELL HOLE, Placer, CA02, -120.415, 39.058, 4850, M, 0.79
MARYSVILLE AIRPORT (ASOS), Yuba, CA02, -121.569, 39.102, 62, 71.9, 0.74
UKIAH MUNICIPAL AP, Mendocino, CA01, -123.200, 39.128, 603, 67.8, 0.55
UKIAH 4 WSW, Mendocino, CA01, -123.272, 39.127, 1328, M, 1.38
GOLD RUN 4 SW, Placer, CA02, -120.900, 39.150, 3220, M, 1.62
WILLIAMS, Colusa, CA02, -122.150, 39.150, 85, M, 2.72
GRASS VALLEY NO. 2, Nevada, CA02, -121.068, 39.204, 2400, 65.5, 2.61
HARRY L. ENGLEBRIGHT DAM, Nevada, CA02, -121.267, 39.237, 800, M, 0.79
COLUSA 2 SSW, Colusa, CA02, -122.027, 39.188, 50, 70.3, 1.03
BLUE CANYON NYACK AP, Placer, CA02, -120.709, 39.276, 5286, 61.0, 2.16
NEVADA CITY, Nevada, CA02, -121.001, 39.247, 2781, 65.3, 3.32
TRUCKEE AIRPORT, Nevada, CA03, -120.139, 39.320, 5900, 53.7, 0.76
TRUCKEE RS, Nevada, CA03, -120.173, 39.333, 5823, M, 0.02
DONNER MEMORIAL ST PARK, Nevada, CA03, -120.233, 39.324, 5937, 55.0, 0.35
COLGATE POWERHOUSE, Yuba, CA02, -121.192, 39.331, 595, M, 1.06
MOULTON WEIR, Colusa, CA02, -122.017, 39.333, 76, M, 0.64
BOCA, Nevada, CA03, -120.094, 39.389, 5575, 55.2, 0.49
POTTER VALLEY POWERHOUSE, Mendocino, CA01, -123.129, 39.362, 1018, 67.4, 2.62
FARAD, Nevada, CA03, -120.033, 39.428, 5153, M, 0.65
BOWMAN DAM, Nevada, CA02, -120.656, 39.454, 5385, M, 3.50
OROVILLE, Butte, CA02, -121.553, 39.518, 171, 70.1, 1.17
OROVILLE MUNICIPAL AP, Butte, CA02, -121.622, 39.494, 187, 71.5, 0.79
SIERRAVILLE RS, Sierra, CA02, -120.370, 39.583, 4975, 56.9, 0.49
DOWNIEVILLE, Sierra, CA02, -120.824, 39.563, 2915, M, 3.72
STRAWBERRY VALLEY, Yuba, CA02, -121.108, 39.563, 3808, 61.3, 2.50
STONY GORGE RESERVOIR, Glenn, CA02, -122.534, 39.586, 800, 70.1, 0.07
BRUSH CREEK RANGER STATION, Butte, CA02, -121.345, 39.695, 3560, M, 2.09
PARADISE, Butte, CA02, -121.624, 39.754, 1750, 70.1, 2.24
VINTON, Plumas, CA02, -120.186, 39.806, 4950, 59.7, 1.12
PORTOLA, Plumas, CA02, -120.472, 39.805, 4850, 57.2, 1.28
DE SABLA, Butte, CA02, -121.611, 39.872, 2710, M, 2.09
LEGGETT, Mendocino, CA01, -123.720, 39.874, 703, M, 3.80
BUCKS CREEK, Plumas, CA02, -121.315, 39.937, 1891, M, 1.33
DOYLE 4 SSE, Lassen, CA03, -120.083, 39.972, 4390, 60.9, 0.39
DOYLE, Lassen, CA03, -120.105, 40.027, 4293, M, 0.26
CANYON DAM, Plumas, CA02, -121.089, 40.171, 4560, M, 1.05
MIRANDA 4 SE, Humboldt, CA01, -123.776, 40.182, 266, M, 3.72
FORT SEWARD, Humboldt, CA01, -123.632, 40.218, 220, M, 2.88
HONEYDEW 1 SW, Humboldt, CA01, -124.132, 40.238, 373, M, 4.28
CHESTER, Plumas, CA02, -121.242, 40.303, 4530, 58.8, 0.69
MINERAL, Tehama, CA02, -121.609, 40.346, 4875, 53.8, 1.44
COLEMAN FISHERIES STATION, Shasta, CA02, -122.143, 40.400, 420, M, 1.53
VOLTA PH, Shasta, CA02, -121.866, 40.458, 2220, M, 0.73
SCOTIA, Humboldt, CA01, -124.104, 40.483, 136, 63.9, 3.78
MANZANITA LAKE, Shasta, CA02, -121.577, 40.541, 5750, 55.7, 0.15
WHISKEYTOWN RESERVOIR, Shasta, CA02, -122.528, 40.612, 1295, 71.8, 2.07
SHASTA DAM, Shasta, CA02, -122.416, 40.714, 1075, 72.8, 2.12
TRINITY RIVER HATCHERY, Trinity, CA01, -122.795, 40.726, 1861, 65.3, 1.07
BIG BAR 4 E, Trinity, CA01, -123.208, 40.741, 1253, 66.7, 2.01
