ame, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 54.4, 4.66
POMONA/FAIRPLEX, Los Angeles, CA06, -117.766, 34.082, 999, 54.3, 5.34
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 6.48
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 58.3, 4.54
TOPANGA PATROL FC-6, Los Angeles, CA06, -118.599, 34.084, 745, M, 9.83
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 58.4, 1.49
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 52.3, 0.51
JOSHUA TREE, San Bernardino, CA07, -116.275, 34.147, 2563, 49.4, 0.73
SAN DIMAS FIRE FC 95, Los Angeles, CA06, -117.802, 34.105, 958, M, 6.98
GLENDORA FC 287B, Los Angeles, CA06, -117.847, 34.147, 933, M, 9.18
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, 56.5, 4.87
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 52.7, 0.04
ALTADENA, Los Angeles, CA06, -118.138, 34.182, 1127, M, 7.23
SAN GABRIEL CANYON PH, Los Angeles, CA06, -117.908, 34.155, 744, M, 7.74
WOODLAND HILLS PIERCE COLLEGE, Los Angeles, CA06, -118.574, 34.182, 790, 52.4, 6.06
SAN GABRIEL DAM FC425B-E, Los Angeles, CA06, -117.861, 34.205, 1481, M, 9.70
MT WILSON CBS, Los Angeles, CA06, -118.071, 34.231, 5710, 43.1, 3.11
LA CRESCENTA FC251 C, Los Angeles, CA06, -118.238, 34.222, 1545, M, 6.27
VAN NUYS AP, Los Angeles, CA06, -118.491, 34.212, 785, 55.2, 5.68
CAMARILLO AP, Ventura, CA06, -119.088, 34.211, 71, 53.3, 2.93
OXNARD VENTURA COUNTY AP, Ventura, CA06, -119.204, 34.200, 39, 54.4, 5.85
PARKER RESRVOIR, San Bernardino, CA07, -114.171, 34.290, 738, 56.3, 2.06
TWENTYNINE PALMS MC, San Bernardino, CA07, -116.147, 34.294, 2003, 52.1, 0.27
BIG BEAR LAKE, San Bernardino, CA06, -116.917, 34.243, 6753, 31.0, 5.28
LAKE ARROWHEAD, San Bernardino, CA07, -117.188, 34.247, 5205, 40.2, 0.00
CHATSWORTH FC 24 F, Los Angeles, CA06, -118.600, 34.250, 950, M, 5.53
VENTURA, Ventura, CA06, -119.292, 34.283, 105, M, 4.36
CRYSTAL LAKE FC238C, Los Angeles, CA06, -117.842, 34.318, 5345, M, 9.19
BIG TUJUNGA DAM FC46, Los Angeles, CA06, -118.188, 34.295, 2326, M, 8.70
PACOIMA DAM FC33A-E, Los Angeles, CA06, -118.400, 34.329, 1550, M, 5.48
PIRU 2 ESE, Ventura, CA06, -118.757, 34.406, 712, M, 5.29
SANTA BARBARA MUNI AP, Santa Barbara, CA06, -119.842, 34.424, 8, 52.4, 3.77
JUNCAL DAM, Santa Barbara, CA06, -119.507, 34.491, 2260, M, 7.85
VICTORVILLE, San Bernardino, CA07, -117.293, 34.529, 2880, 47.1, 1.30
ACTON ESCONDIDO FC261, Los Angeles, CA06, -118.271, 34.494, 2833, M, 4.68
GIBRALTAR DAM NO. 2, Santa Barbara, CA06, -119.682, 34.523, 1558, M, 7.95
PALMDALE, Los Angeles, CA07, -118.094, 34.588, 2612, 48.2, 2.60
SAUGUS POWER PLANT 1, Los Angeles, CA06, -118.454, 34.590, 2161, M, 4.19
CACHUMA LAKE, Santa Barbara, CA06, -119.982, 34.582, 789, 52.6, 5.70
SALSIPUEDES GAGING STATION, Santa Barbara, CA06, -120.408, 34.585, 254, M, 5.06
EL MIRAGE, San Bernardino, CA07, -117.630, 34.589, 2950, M, 0.93
PALMDALE AP, Los Angeles, CA07, -118.083, 34.629, 2509, 46.9, 2.33
LOMPOC, Santa Barbara, CA06, -120.451, 34.654, 75, 53.4, 5.34
LANCASTER, Los Angeles, CA06, -118.213, 34.741, 2338, 46.2, 2.38
SANDBERG, Los Angeles, CA06, -118.724, 34.744, 4510, 40.5, 2.59
LEBEC, Kern, CA05, -118.865, 34.833, 3575, 42.7, 2.60
CHUCHUPATE RANGER STN, Ventura, CA05, -119.011, 34.808, 5260, 42.3, 1.03
GAREY SISQUOC RIVER, Santa Barbara, CA06, -120.305, 34.894, 355, M, 3.82
MITCHELL CAVERNS, San Bernardino, CA07, -115.547, 34.944, 4350, 45.6, 1.09
NEW CUYAMA FIRE STATION, Santa Barbara, CA06, -119.683, 34.946, 2160, 47.7, 2.01
TWITCHELL DAM, Santa Barbara, CA06, -120.321, 34.988, 582, 51.5, 5.01
MOJAVE, Kern, CA07, -118.162, 35.049, 2735, 46.2, 2.05
PISMO BEACH, San Luis Obispo, CA04, -120.683, 35.160, 39, 52.8, 1.98
TAFT, Kern, CA05, -119.430, 35.150, 773, 50.8, 1.35
BAKER, San Bernardino, CA07, -116.063, 35.276, 962, 52.3, 0.49
SALINAS DAM, San Luis Obispo, CA04, -120.504, 35.337, 1392, M, 5.03
RANDSBURG, Kern, CA07, -117.652, 35.369, 3570, 45.0, 2.42
SANTA MARGARITA BOOST, San Luis Obispo, CA04, -120.637, 35.374, 1148, M, 8.08
MORRO BAY FIRE DEPT, San Luis Obispo, CA04, -120.845, 35.367, 118, 55.3, 4.89
BAKERSFIELD AP, Kern, CA05, -119.055, 35.434, 490, 55.1, 1.71
BUTTONWILLOW, Kern, CA05, -119.470, 35.403, 225, 51.5, 1.54
GLENNVILLE, Kern, CA05, -118.701, 35.727, 3140, 42.0, 4.17
TRONA, San Bernardino, CA07, -117.391, 35.764, 1695, 49.7, 1.39
DELANO, Kern, CA05, -119.260, 35.768, 302, 50.2, 0.88
BRADLEY TELEMETERING, Monterey, CA04, -120.868, 35.930, 443, M, 3.40
SHOSHONE, Inyo, CA07, -116.271, 35.972, 1546, 52.1, 1.07
PORTERVILLE MUNICIPAL AIRPORT, Tulare, CA05, -119.062, 36.029, 442, 50.6, 0.64
KETTLEMAN CITY, Kings, CA05, -119.960, 36.007, 240, 50.0, 1.19
HAIWEE, Inyo, CA07, -117.953, 36.139, 3825, 46.7, 1.69
CORCORAN IRRIGATION DIST., Kings, CA05, -119.582, 36.098, 200, 50.7, 1.11
COALINGA, Fresno, CA05, -120.361, 36.136, 670, 51.9, 1.72
PRIEST VALLEY, Monterey, CA04, -120.695, 36.188, 2300, 45.2, 7.79
KING CITY, Monterey, CA04, -121.138, 36.207, 320, 52.7, 2.77
LINDSAY, Tulare, CA05, -119.054, 36.203, 435, 51.2, 1.79
BIG SUR STATION, Monterey, CA04, -121.780, 36.247, 200, 51.0, 13.23
VISALIA, Tulare, CA05, -119.300, 36.328, 303, 50.7, 1.08
FIVE POINTS 5 SSW, Fresno, CA05, -120.156, 36.364, 285, 51.3, 1.71
SAN CLEMENTE DAM, Monterey, CA04, -121.709, 36.438, 600, M, 7.07
ASH MOUNTAIN, Tulare, CA05, -118.825, 36.491, 1708, 49.7, 6.34
THREE RIVERS EDISON PH 1, Tulare, CA05, -118.862, 36.465, 1140, 47.6, 4.28
PINNACLES NATIONAL PARK, San Benito, CA04, -121.182, 36.482, 1307, 45.1, 4.46
CARMEL VALLEY, Monterey, CA04, -121.724, 36.481, 480, 51.3, 5.58
LODGEPOLE, Tulare, CA05, -118.732, 36.604, 6735, 27.1, 9.84
PANOCHE 2 W, San Benito, CA05, -120.884, 36.607, 1400, M, 1.74
MONTEREY, Monterey, CA04, -121.855, 36.593, 122, 52.0, 5.77
SALINAS NO. 2, Monterey, CA04, -121.666, 36.659, 45, 52.7, 3.21
SALINAS AP, Monterey, CA04, -121.609, 36.664, 73, 52.4, 3.52
GRANT GROVE, Tulare, CA05, -118.962, 36.738, 6580, 33.1, 9.01
PAICINES 4 W, San Benito, CA04, -121.349, 36.715, 905, 46.7, 3.35
PINE FLAT DAM, Fresno, CA05, -119.337, 36.821, 615, 54.3, 4.29
HOLLISTER 2, San Benito, CA04, -121.421, 36.848, 275, 50.4, 3.03
BALCH POWER HOUSE, Fresno, CA05, -119.088, 36.909, 1735, 44.8, 5.12
WATSONVILLE WATERWORKS, Santa Cruz, CA04, -121.769, 36.931, 95, 51.8, 6.24
FRIANT GOVERNMENT CAMP, Fresno, CA05, -119.707, 36.997, 410, 51.1, 1.85
MADERA, Madera, CA05, -120.038, 36.954, 270, 51.0, 3.24
WISHON DAM, Fresno, CA05, -118.984, 37.007, 6550, 36.5, 8.67
GILROY, Santa Clara, CA04, -121.561, 37.003, 194, 51.4, 5.44
AUBERRY 2 NW, Fresno, CA05, -119.513, 37.092, 2090, 47.3, 5.59
LOS BANOS, Merced, CA05, -120.867, 37.056, 120, 52.0, 1.93
BEN LOMOND NO. 4, Santa Cruz, CA04, -122.080, 37.086, 420, 49.9, 17.94
MORGAN HILL, Santa Clara, CA04, -121.602, 37.136, 375, 51.9, 6.85
ASPENDELL, Inyo, CA01, -118.599, 37.232, 8470, 28.8, 3.80
HUNTINGTON LAKE, Fresno, CA05, -119.221, 37.228, 7020, M, 7.92
NORTH FORK RS, Madera, CA05, -119.510, 37.233, 2645, 43.4, 2.40
LOS GATOS, Santa Clara, CA04, -121.959, 37.232, 365, 50.0, 9.39
NEWMAN, Stanislaus, CA05, -121.018, 37.281, 90, 52.1, 2.09
MOUNT HAMILTON, Santa Clara, CA04, -121.635, 37.343, 4220, 39.9, 7.32
BISHOP AIRPORT, Inyo, CA07, -118.359, 37.371, 4110, 39.8, 0.53
MOFFETT FEDERAL AIRFIELD, Santa Clara, CA04, -122.048, 37.406, 39, 52.4, 4.97
WOODSIDE FIRE STATION 1, San Mateo, CA04, -122.256, 37.429, 380, 50.4, 8.89
TURLOCK #2, Stanislaus, CA05, -120.846, 37.502, 103, 51.7, 2.53
PALO ALTO, Santa Clara, CA04, -122.140, 37.444, 25, 50.3, 2.19
REDWOOD CITY, San Mateo, CA04, -122.239, 37.477, 31, 51.8, 4.78
HALF MOON BAY, San Mateo, CA04, -122.443, 37.473, 27, 51.0, 8.76
SO ENTRANCE YOSEMITE N.P., Mariposa, CA05, -119.633, 37.512, 5047, 33.8, 8.00
MARIPOSA R S, Mariposa, CA05, -119.986, 37.495, 2100, M, 6.80
NEWARK, Alameda, CA04, -122.032, 37.515, 10, 52.1, 4.16
EXCHEQUER DAM, Mariposa, CA05, -120.267, 37.585, 442, M, 3.65
MODESTO AP, Stanislaus, CA05, -120.955, 37.625, 87, 52.4, 2.38
HAYWARD AIR TERMINAL, Alameda, CA04, -122.121, 37.659, 31, 52.2, 4.75
TRACY CARBONA, San Joaquin, CA05, -121.347, 37.682, 135, 49.9, 1.75
LIVERMORE MUNICIPAL AP, Alameda, CA04, -121.815, 37.693, 393, 49.9, 3.96
OAKLAND INTERNATIONAL AIRPORT, Alameda, CA04, -122.233, 37.718, 5, 51.2, 5.94
UPPER SAN LEANDRO FILTERS, Alameda, CA04, -122.167, 37.772, 394, M, 7.76
SAN FRANCISCO DOWNTOWN, San Francisco, CA04, -122.427, 37.771, 150, 52.9, 7.92
SAN FRANCISCO OCEANSIDE, San Francisco, CA04, -122.505, 37.728, 8, 52.5, 7.74
GROVELAND 2, Tuolumne, CA05, -120.226, 37.844, 2800, 42.4, 7.96
TRACY PUMPING PLANT, Alameda, CA05, -121.583, 37.796, 61, 51.4, 2.95
OAKLAND MUSEUM, Alameda, CA04, -122.264, 37.798, 30, 53.1, 7.41
TUOLUMNE MEADOWS R.S., Tuolumne, CA05, -119.344, 37.877, 8694, 23.1, 5.57
MATHER, Tuolumne, CA05, -119.856, 37.885, 4510, M, 6.08
MOUNT DIABLO JUNCTION, Contra Costa, CA04, -121.930, 37.879, 2170, 45.8, 6.51
STOCKTON AP, San Joaquin, CA05, -121.226, 37.890, 27, 50.9, 2.68
RICHMOND, Contra Costa, CA04, -122.377, 37.919, 20, 52.1, 5.68
MUIR WOODS, Marin, CA01, -122.569, 37.898, 220, M, 9.57
HETCH HETCHY, Tuolumne, CA05, -119.783, 37.961, 3870, 38.4, 6.20
CHERRY VALLEY DAM, Tuolumne, CA05, -119.916, 37.975, 4765, 38.0, 11.38
SONORA, Tuolumne, CA05, -120.387, 37.967, 1675, 45.3, 5.87
STOCKTON FIRE STA 4, San Joaquin, CA05, -121.318, 37.999, 12, 46.8, 4.35
ANTIOCH PUMPING PLANT #3, Contra Costa, CA05, -121.752, 37.983, 60, 50.9, 4.36
CONCORD BUCHANAN FIELD, Contra Costa, CA04, -122.053, 37.992, 23, 50.9, 5.74
CONCORD WASTEWATER PLANT, Contra Costa, CA04, -122.069, 37.983, 40, 51.3, 6.84
SAN RAFAEL-CIVIC CENTER, Marin, CA01, -122.537, 37.998, 120, 49.9, 11.84
KENTFIELD, Marin, CA01, -122.545, 37.957, 145, 49.6, 14.72
MARTINEZ WATER PLANT, Contra Costa, CA04, -122.114, 38.013, 40, 47.6, 6.18
BODIE CALIFORNIA STATE HISTORIC PARK, Mono, CA03, -119.014, 38.212, 8370, 22.5, 0.58
ACAMPO 5NE, San Joaquin, CA05, -121.201, 38.218, 87, M, 4.54
NAPA COUNTY AIRPORT, Napa, CA04, -122.280, 38.208, 16, 48.5, 6.87
BRIDGEPORT, Mono, CA03, -119.229, 38.258, 6470, 30.7, 0.93
CALAVERAS BIG TREES, Calaveras, CA05, -120.311, 38.277, 4695, 35.2, 3.26
CAMP PARDEE, Calaveras, CA05, -120.843, 38.249, 658, 50.9, 4.34
TRAVIS FIELD AFB, Solano, CA02, -121.933, 38.267, 62, M, 5.02
FAIRFIELD, Solano, CA02, -122.068, 38.274, 40, 50.0, 9.31
SONOMA, Sonoma, CA01, -122.462, 38.299, 97, 49.8, 8.76
SUTTER HILL CDF, Amador, CA05, -120.801, 38.377, 1586, 46.4, 6.10
WEST POINT, Calaveras, CA05, -120.545, 38.378, 2775, M, 7.55
ATLAS ROAD BROWN, Napa, CA01, -122.248, 38.427, 1680, M, 14.20
GRATON, Sonoma, CA01, -122.865, 38.431, 200, 48.6, 11.39
OCCIDENTAL, Sonoma, CA01, -122.966, 38.386, 865, 48.4, 11.81
FIDDLETOWN DEXTER RCH, Amador, CA05, -120.698, 38.525, 2170, M, 7.65
SACRAMENTO AP ASOS, Sacramento, CA02, -121.496, 38.507, 19, 50.8, 5.07
WINTERS, Yolo, CA02, -121.978, 38.525, 135, 50.7, 8.00
LAKE SOLANO, Solano, CA02, -122.004, 38.492, 187, 50.2, 9.12
SAINT HELENA, Napa, CA01, -122.471, 38.507, 225, 50.3, 10.68
SAINT HELENA 4 WSW, Napa, CA01, -122.538, 38.493, 1780, M, 15.72
FORT ROSS, Sonoma, CA01, -123.245, 38.515, 112, 50.1, 6.21
SACRAMENTO 5 ESE, Sacramento, CA02, -121.418, 38.555, 38, 51.9, 5.06
ANGWIN PACIFIC UNION COLLEGE, Napa, CA01, -122.440, 38.573, 1715, 44.3, 13.18
CALISTOGA, Napa, CA01, -122.578, 38.577, 350, 48.1, 11.30
VENADO, Sonoma, CA01, -123.018, 38.609, 1260, M, 17.65
WOODLAND 1 WNW, Yolo, CA02, -121.794, 38.683, 67, 51.7, 5.82
PLACERVILLE, El Dorado, CA02, -120.824, 38.696, 1850, 47.4, 8.22
REPRESA, Sacramento, CA02, -121.161, 38.694, 295, M, 3.68
SACRAMENTO METROPOLITAN AP, Sacramento, CA02, -121.595, 38.701, 24, 49.5, 4.51
PACIFIC HOUSE, El Dorado, CA02, -120.503, 38.758, 3450, M, 9.46
MIDDLETOWN, Lake, CA02, -122.626, 38.748, 1121, M, 11.18
CLOVERDALE, Sonoma, CA01, -123.026, 38.793, 400, 50.0, 10.89
KELSEY 1 N, El Dorado, CA02, -120.821, 38.809, 2000, M, 8.61
SOUTH LAKE TAHOE AP, El Dorado, CA03, -119.996, 38.898, 6257, 30.7, 1.71
GEORGETOWN RS, El Dorado, CA02, -120.801, 38.933, 3001, 43.6, 11.17
AUBURN, Placer, CA02, -121.084, 38.907, 1292, 49.0, 2.00
NICOLAUS #2, Sutter, CA02, -121.545, 38.926, 43, M, 4.13
YORKVILLE, Mendocino, CA01, -123.231, 38.905, 1100, M, 13.78
FORESTHILL RANGER STATION, Placer, CA02, -120.845, 39.010, 3015, M, 10.69
MARYSVILLE AIRPORT (ASOS), Yuba, CA02, -121.569, 39.102, 62, 50.4, 5.01
UKIAH MUNICIPAL AP, Mendocino, CA01, -123.200, 39.128, 603, 47.1, 8.65
UKIAH 4 WSW, Mendocino, CA01, -123.272, 39.127, 1328, M, 9.75
GOLD RUN 4 SW, Placer, CA02, -120.900, 39.150, 3220, M, 11.34
WILLIAMS, Colusa, CA02, -122.150, 39.150, 85, M, 10.29
GRASS VALLEY NO. 2, Nevada, CA02, -121.068, 39.204, 2400, 42.9, 11.11
HARRY L. ENGLEBRIGHT DAM, Nevada, CA02, -121.267, 39.237, 800, M, 7.18
COLUSA 2 SSW, Colusa, CA02, -122.027, 39.188, 50, 49.5, 2.03
BLUE CANYON NYACK AP, Placer, CA02, -120.709, 39.276, 5286, 37.2, 9.94
NEVADA CITY, Nevada, CA02, -121.001, 39.247, 2781, 42.1, 15.21
TRUCKEE AIRPORT, Nevada, CA03, -120.139, 39.320, 5900, 29.3, 2.67
TRUCKEE RS, Nevada, CA03, -120.173, 39.333, 5823, M, 0.67
DONNER MEMORIAL ST PARK, Nevada, CA03, -120.233, 39.324, 5937, 28.8, 6.44
COLGATE POWERHOUSE, Yuba, CA02, -121.192, 39.331, 595, M, 7.44
MOULTON WEIR, Colusa, CA02, -122.017, 39.333, 76, M, 2.08
BOCA, Nevada, CA03, -120.094, 39.389, 5575, 29.8, 2.08
DOBBINS 1 S, Yuba, CA02, -121.201, 39.358, 1640, 47.0, 9.11
POTTER VALLEY POWERHOUSE, Mendocino, CA01, -123.129, 39.362, 1018, 46.0, 9.11
FARAD, Nevada, CA03, -120.033, 39.428, 5153, M, 1.32
WILLITS 1 NE, Mendocino, CA01, -123.342, 39.419, 1353, 42.6, 8.58
BOWMAN DAM, Nevada, CA02, -120.656, 39.454, 5385, 35.3, 13.72
OROVILLE, Butte, CA02, -121.553, 39.518, 171, 49.8, 14.71
OROVILLE MUNICIPAL AP, Butte, CA02, -121.622, 39.494, 187, 50.3, 6.73
SIERRAVILLE RS, Sierra, CA02, -120.370, 39.583, 4975, 34.3, 0.80
DOWNIEVILLE, Sierra, CA02, -120.824, 39.563, 2915, 39.4, 15.08
STRAWBERRY VALLEY, Yuba, CA02, -121.108, 39.563, 3808, 37.7, 21.09
